,d1,d2,d3,d4,d5,d6,d7,d8,d9,d0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y0
0,66.0,71.0,71.0,52.0,59.0,62.0,55.0,59.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,61.0,66.0,62.0,61.0,74.0,53.0,52.0,56.0,17.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,68.0,69.0,63.0,44.0,59.0,26.0,61.0,67.0,38.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,61.0,62.0,60.0,41.0,62.0,21.0,56.0,68.0,51.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,71.0,36.0,58.0,67.0,48.0,63.0,46.0,54.0,43.0,64.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,66.0,61.0,55.0,44.0,53.0,22.0,65.0,69.0,48.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,63.0,54.0,66.0,63.0,52.0,67.0,8.0,60.0,61.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,18.0,55.0,63.0,60.0,71.0,66.0,43.0,57.0,68.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,38.0,59.0,41.0,44.0,67.0,48.0,55.0,67.0,64.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,70.0,45.0,47.0,38.0,47.0,66.0,51.0,63.0,66.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,70.0,67.0,65.0,46.0,49.0,58.0,45.0,59.0,42.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,57.0,54.0,66.0,61.0,58.0,73.0,2.0,60.0,61.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,70.0,67.0,61.0,56.0,65.0,0.0,73.0,61.0,62.0,63.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,78.0,71.0,67.0,56.0,21.0,60.0,61.0,75.0,74.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,63.0,60.0,72.0,59.0,26.0,61.0,38.0,64.0,61.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,69.0,68.0,62.0,55.0,64.0,1.0,72.0,60.0,63.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,71.0,58.0,44.0,55.0,48.0,49.0,60.0,60.0,43.0,58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,70.0,71.0,57.0,18.0,59.0,38.0,69.0,75.0,74.0,61.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,64.0,15.0,61.0,62.0,59.0,64.0,55.0,59.0,52.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,76.0,69.0,63.0,44.0,17.0,58.0,61.0,77.0,74.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,70.0,65.0,63.0,54.0,9.0,58.0,63.0,73.0,64.0,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,67.0,56.0,34.0,67.0,80.0,57.0,60.0,48.0,41.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,66.0,59.0,37.0,52.0,67.0,62.0,71.0,67.0,34.0,61.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,49.0,70.0,64.0,25.0,66.0,37.0,66.0,66.0,53.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,69.0,58.0,14.0,65.0,62.0,71.0,66.0,78.0,57.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,63.0,64.0,54.0,43.0,74.0,55.0,56.0,38.0,61.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,56.0,51.0,65.0,62.0,51.0,62.0,49.0,63.0,34.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,59.0,64.0,72.0,63.0,72.0,63.0,60.0,60.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,67.0,28.0,56.0,59.0,38.0,55.0,54.0,64.0,61.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
