,d1,d2,d3,d4,d5,d6,d7,d8,d9,d0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y0
0,53.0,60.0,74.0,58.0,66.0,62.0,63.0,56.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,49.0,60.0,56.0,54.0,64.0,68.0,59.0,64.0,32.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,66.0,55.0,75.0,51.0,47.0,37.0,62.0,73.0,41.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,63.0,62.0,62.0,20.0,62.0,42.0,55.0,68.0,66.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,59.0,34.0,58.0,68.0,52.0,70.0,55.0,42.0,52.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,57.0,58.0,70.0,58.0,46.0,32.0,57.0,78.0,36.0,53.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,67.0,66.0,66.0,58.0,62.0,62.0,5.0,70.0,64.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,18.0,55.0,63.0,69.0,71.0,69.0,54.0,65.0,65.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,50.0,57.0,41.0,29.0,57.0,53.0,54.0,71.0,63.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,70.0,61.0,57.0,45.0,29.0,67.0,46.0,65.0,57.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,65.0,56.0,66.0,54.0,58.0,54.0,43.0,62.0,34.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,62.0,59.0,65.0,59.0,65.0,63.0,8.0,69.0,71.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,66.0,61.0,69.0,53.0,63.0,9.0,60.0,77.0,57.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,59.0,62.0,66.0,48.0,18.0,70.0,65.0,60.0,66.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,59.0,62.0,74.0,52.0,28.0,70.0,41.0,66.0,52.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,70.0,65.0,69.0,55.0,63.0,3.0,62.0,81.0,69.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,69.0,66.0,40.0,50.0,48.0,62.0,61.0,50.0,62.0,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,69.0,66.0,60.0,12.0,56.0,46.0,61.0,68.0,78.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,52.0,25.0,55.0,57.0,61.0,63.0,58.0,59.0,43.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,60.0,61.0,63.0,43.0,33.0,49.0,68.0,65.0,65.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,62.0,59.0,65.0,37.0,31.0,43.0,62.0,69.0,61.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,62.0,59.0,35.0,73.0,67.0,75.0,74.0,45.0,43.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,52.0,67.0,21.0,57.0,69.0,69.0,66.0,71.0,55.0,68.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,55.0,64.0,66.0,32.0,64.0,38.0,63.0,72.0,60.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,60.0,57.0,37.0,63.0,57.0,79.0,60.0,67.0,35.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,56.0,57.0,45.0,53.0,63.0,73.0,50.0,43.0,49.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,50.0,47.0,67.0,67.0,57.0,59.0,58.0,63.0,23.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,58.0,57.0,69.0,55.0,53.0,63.0,58.0,71.0,13.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,60.0,31.0,47.0,51.0,49.0,63.0,58.0,59.0,55.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,58.0,53.0,69.0,65.0,61.0,63.0,62.0,67.0,3.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,53.0,32.0,56.0,54.0,38.0,66.0,59.0,68.0,58.0,59.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
