,d1,d2,d3,d4,d5,d6,d7,d8,d9,d0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y0
0,65.0,67.0,63.0,58.0,63.0,67.0,69.0,69.0,56.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,54.0,78.0,62.0,61.0,68.0,68.0,60.0,62.0,15.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,74.0,62.0,50.0,59.0,56.0,34.0,70.0,76.0,37.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,61.0,61.0,57.0,46.0,59.0,25.0,63.0,67.0,56.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,79.0,45.0,55.0,64.0,41.0,59.0,51.0,61.0,54.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,73.0,57.0,49.0,52.0,61.0,21.0,61.0,81.0,58.0,55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,68.0,64.0,64.0,61.0,50.0,62.0,10.0,54.0,65.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,18.0,70.0,72.0,69.0,72.0,68.0,52.0,70.0,61.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,40.0,64.0,54.0,41.0,74.0,52.0,60.0,64.0,59.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,88.0,46.0,40.0,39.0,54.0,64.0,58.0,56.0,63.0,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,79.0,71.0,51.0,46.0,49.0,57.0,53.0,59.0,40.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,59.0,61.0,69.0,64.0,59.0,65.0,7.0,53.0,64.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,70.0,58.0,56.0,65.0,64.0,0.0,66.0,70.0,71.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,69.0,71.0,53.0,66.0,11.0,61.0,59.0,55.0,70.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,73.0,67.0,61.0,60.0,23.0,67.0,41.0,57.0,58.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,70.0,58.0,56.0,65.0,64.0,0.0,66.0,70.0,71.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,77.0,79.0,33.0,60.0,37.0,55.0,55.0,49.0,50.0,67.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,79.0,65.0,63.0,18.0,67.0,47.0,75.0,63.0,66.0,59.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,76.0,20.0,52.0,55.0,58.0,58.0,56.0,62.0,65.0,74.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,82.0,60.0,52.0,59.0,14.0,52.0,58.0,62.0,77.0,58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,73.0,69.0,51.0,70.0,3.0,61.0,61.0,55.0,70.0,67.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,70.0,66.0,36.0,57.0,60.0,60.0,56.0,56.0,35.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,75.0,63.0,27.0,42.0,65.0,63.0,73.0,69.0,42.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,55.0,65.0,69.0,30.0,73.0,35.0,63.0,59.0,56.0,57.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,80.0,58.0,6.0,67.0,52.0,60.0,68.0,70.0,61.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,71.0,61.0,51.0,32.0,63.0,61.0,51.0,35.0,56.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,69.0,51.0,61.0,58.0,53.0,59.0,55.0,63.0,34.0,71.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,58.0,76.0,66.0,57.0,74.0,72.0,62.0,68.0,1.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,88.0,40.0,40.0,57.0,38.0,56.0,56.0,62.0,65.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,57.0,77.0,67.0,58.0,73.0,71.0,63.0,67.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,85.0,35.0,43.0,60.0,41.0,57.0,59.0,61.0,60.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,57.0,77.0,67.0,58.0,73.0,71.0,63.0,67.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,66.0,68.0,60.0,41.0,68.0,36.0,64.0,64.0,37.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,14.0,68.0,74.0,67.0,66.0,58.0,50.0,62.0,59.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,56.0,78.0,68.0,57.0,74.0,72.0,64.0,66.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,69.0,67.0,49.0,48.0,77.0,73.0,55.0,53.0,46.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,82.0,60.0,0.0,69.0,52.0,56.0,66.0,68.0,67.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,62.0,60.0,60.0,75.0,66.0,16.0,60.0,74.0,55.0,56.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,6.0,72.0,80.0,73.0,70.0,64.0,64.0,64.0,53.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,76.0,56.0,54.0,63.0,52.0,68.0,50.0,60.0,39.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,81.0,29.0,47.0,56.0,45.0,63.0,55.0,61.0,62.0,71.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,79.0,31.0,49.0,64.0,43.0,55.0,49.0,65.0,66.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,70.0,82.0,75.0,72.0,70.0,64.0,62.0,57.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,83.0,71.0,61.0,32.0,69.0,63.0,65.0,57.0,54.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,28.0,68.0,68.0,55.0,74.0,56.0,66.0,60.0,51.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,73.0,69.0,45.0,36.0,67.0,61.0,61.0,77.0,38.0,71.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,84.0,38.0,52.0,47.0,42.0,60.0,54.0,58.0,55.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,62.0,64.0,64.0,69.0,62.0,62.0,6.0,60.0,59.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48,68.0,72.0,60.0,49.0,48.0,64.0,64.0,66.0,51.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,65.0,75.0,49.0,40.0,67.0,71.0,61.0,61.0,24.0,67.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,75.0,69.0,69.0,0.0,73.0,65.0,67.0,61.0,58.0,61.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,46.0,70.0,76.0,67.0,54.0,74.0,18.0,54.0,57.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,78.0,34.0,52.0,61.0,36.0,62.0,50.0,62.0,65.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,66.0,40.0,56.0,59.0,48.0,56.0,44.0,60.0,51.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,77.0,53.0,51.0,46.0,41.0,59.0,55.0,53.0,48.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,71.0,77.0,57.0,24.0,73.0,61.0,55.0,65.0,36.0,61.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,70.0,60.0,48.0,59.0,56.0,40.0,62.0,70.0,49.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,64.0,58.0,58.0,69.0,66.0,6.0,62.0,70.0,65.0,68.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,82.0,60.0,0.0,69.0,52.0,56.0,66.0,68.0,67.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,85.0,67.0,67.0,38.0,47.0,59.0,69.0,61.0,58.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,67.0,73.0,47.0,60.0,33.0,49.0,61.0,39.0,68.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,51.0,73.0,69.0,34.0,67.0,47.0,71.0,79.0,40.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,65.0,65.0,67.0,52.0,71.0,59.0,67.0,57.0,58.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,73.0,69.0,51.0,18.0,75.0,73.0,65.0,61.0,52.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,66.0,70.0,64.0,57.0,62.0,70.0,62.0,58.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,20.0,70.0,72.0,65.0,68.0,64.0,72.0,52.0,51.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,75.0,71.0,67.0,6.0,73.0,67.0,65.0,61.0,52.0,57.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,56.0,72.0,66.0,57.0,70.0,66.0,20.0,64.0,45.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
68,70.0,58.0,56.0,65.0,64.0,0.0,66.0,70.0,71.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
69,68.0,70.0,68.0,25.0,80.0,40.0,68.0,60.0,53.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
70,40.0,68.0,70.0,65.0,60.0,60.0,56.0,38.0,53.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,69.0,67.0,19.0,54.0,55.0,63.0,67.0,61.0,58.0,61.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,73.0,65.0,9.0,68.0,45.0,63.0,67.0,65.0,60.0,59.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,63.0,71.0,49.0,58.0,59.0,67.0,59.0,27.0,50.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,60.0,62.0,46.0,71.0,42.0,56.0,54.0,54.0,39.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,74.0,64.0,16.0,55.0,68.0,54.0,68.0,76.0,53.0,58.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,62.0,80.0,64.0,51.0,70.0,70.0,60.0,58.0,9.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77,77.0,67.0,39.0,42.0,53.0,61.0,69.0,61.0,42.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
78,75.0,45.0,47.0,64.0,41.0,59.0,59.0,55.0,50.0,77.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,60.0,68.0,54.0,57.0,72.0,68.0,66.0,60.0,23.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
80,73.0,69.0,69.0,2.0,71.0,65.0,67.0,63.0,58.0,61.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,74.0,66.0,64.0,5.0,74.0,60.0,70.0,60.0,59.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,58.0,78.0,66.0,57.0,72.0,70.0,62.0,66.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,57.0,77.0,67.0,58.0,73.0,71.0,63.0,67.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84,65.0,65.0,29.0,56.0,63.0,55.0,63.0,49.0,52.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85,64.0,62.0,62.0,57.0,68.0,60.0,54.0,28.0,67.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,82.0,60.0,0.0,69.0,52.0,56.0,66.0,68.0,67.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,81.0,59.0,1.0,68.0,51.0,57.0,67.0,69.0,66.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,73.0,65.0,51.0,68.0,7.0,61.0,53.0,65.0,68.0,57.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89,83.0,45.0,49.0,60.0,35.0,53.0,51.0,49.0,66.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,67.0,61.0,53.0,50.0,59.0,21.0,59.0,59.0,52.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91,56.0,72.0,62.0,59.0,64.0,72.0,58.0,68.0,21.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92,58.0,76.0,62.0,59.0,68.0,68.0,58.0,68.0,5.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
93,73.0,69.0,41.0,70.0,43.0,69.0,53.0,33.0,46.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
94,78.0,60.0,6.0,71.0,52.0,58.0,60.0,64.0,61.0,68.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,57.0,65.0,45.0,50.0,71.0,67.0,33.0,63.0,52.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,4.0,72.0,78.0,71.0,68.0,66.0,62.0,62.0,59.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,82.0,72.0,38.0,75.0,30.0,70.0,40.0,58.0,59.0,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,54.0,68.0,64.0,63.0,40.0,62.0,60.0,50.0,51.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
99,79.0,65.0,9.0,66.0,59.0,65.0,59.0,63.0,58.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,75.0,63.0,61.0,46.0,43.0,53.0,71.0,67.0,64.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
101,63.0,47.0,57.0,48.0,59.0,65.0,57.0,67.0,34.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,64.0,64.0,66.0,61.0,62.0,68.0,68.0,64.0,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,74.0,60.0,52.0,55.0,66.0,10.0,68.0,66.0,73.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104,61.0,67.0,51.0,52.0,61.0,65.0,65.0,27.0,48.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105,68.0,56.0,46.0,47.0,72.0,50.0,56.0,46.0,47.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
106,81.0,61.0,3.0,66.0,55.0,59.0,63.0,67.0,64.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,55.0,75.0,63.0,56.0,75.0,71.0,61.0,65.0,4.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
108,82.0,58.0,4.0,71.0,50.0,54.0,62.0,68.0,71.0,68.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,4.0,68.0,78.0,73.0,72.0,66.0,60.0,62.0,57.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
110,58.0,76.0,68.0,57.0,74.0,70.0,62.0,68.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
111,66.0,64.0,54.0,61.0,60.0,6.0,64.0,64.0,65.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
